code	name	description	keywords	knowledge_type_code	stem_element	course_code	grade_code	week_code	prompt_ready
SIO_IT_LQVT_PHCCB_01	Nhận biết các bộ phận cơ bản của máy tính	Nhận biết được máy tính và các bộ phận cơ bản (màn hình, thân máy, bàn phím, chuột).	máy tính, phần cứng, màn hình, thân máy, bàn phím, chuột, nhận biết	FACTUAL	T	TIN_HOC	G3	W1	"Mã LO: SIO_IT_LQVT_PHCCB_01
Tên: Nhận biết các bộ phận cơ bản của máy tính
Mô tả: Nhận biết được máy tính và các bộ phận cơ bản (màn hình, thân máy, bàn phím, chuột).
Từ khóa: máy tính, phần cứng, màn hình, thân máy, bàn phím, chuột, nhận biết
Loại kiến thức: FACTUAL
Môn học: TIN_HOC
Lớp: G3
Tuần: W1"
SIO_MATH_SPPT_TCPT_01	Nhận biết mối quan hệ giữa phép cộng và trừ	Nhận biết được mối quan hệ giữa phép cộng và phép trừ (dựa trên tính toán cụ thể).	mối quan hệ cộng trừ, tìm thành phần chưa biết, phép tính ngược	CONCEPT	M	TOAN	G3	W1	"Mã LO: SIO_MATH_SPPT_TCPT_01
Tên: Nhận biết mối quan hệ giữa phép cộng và trừ
Mô tả: Nhận biết được mối quan hệ giữa phép cộng và phép trừ (dựa trên tính toán cụ thể).
Từ khóa: mối quan hệ cộng trừ, tìm thành phần chưa biết, phép tính ngược
Loại kiến thức: CONCEPT
Môn học: TOAN
Lớp: G3
Tuần: W1"
ULO_MATH_SPPT_TCPT	Hiểu các tính chất của phép tính	Hiểu được các quy luật và tính chất cơ bản của các phép toán số học, bao gồm mối quan hệ nghịch đảo giữa các phép toán.	tính chất, phép toán, quy luật	CONCEPT	M	TOAN	G3	W1	"Mã LO: ULO_MATH_SPPT_TCPT
Tên: Hiểu các tính chất của phép tính
Mô tả: Hiểu được các quy luật và tính chất cơ bản của các phép toán số học, bao gồm mối quan hệ nghịch đảo giữa các phép toán.
Từ khóa: tính chất, phép toán, quy luật
Loại kiến thức: CONCEPT
Môn học: TOAN
Lớp: G3
Tuần: W1"
CIO_MATH_SPPT_TCPT	Trình bày mối quan hệ giữa phép cộng và trừ	Dựa trên sự hiểu biết về tính chất phép tính, có thể giải thích và trình bày rằng phép trừ là phép toán ngược của phép cộng và ngược lại.	phép tính ngược, cộng, trừ, mối quan hệ	CONCEPT	M	TOAN	G3	W1	"Mã LO: CIO_MATH_SPPT_TCPT
Tên: Trình bày mối quan hệ giữa phép cộng và trừ
Mô tả: Dựa trên sự hiểu biết về tính chất phép tính, có thể giải thích và trình bày rằng phép trừ là phép toán ngược của phép cộng và ngược lại.
Từ khóa: phép tính ngược, cộng, trừ, mối quan hệ
Loại kiến thức: CONCEPT
Môn học: TOAN
Lớp: G3
Tuần: W1"
CIO_IT_LQVT_PHCCB	Nhận biết phần cứng cơ bản của máy tính	Nhận biết được các bộ phận phần cứng cơ bản và các thiết bị ngoại vi thông dụng của máy tính.	máy tính, phần cứng, màn hình, thân máy, bàn phím, chuột, màn hình cảm ứng	CONCEPT	T	TIN_HOC	G3	W2	"Mã LO: CIO_IT_LQVT_PHCCB
Tên: Nhận biết phần cứng cơ bản của máy tính
Mô tả: Nhận biết được các bộ phận phần cứng cơ bản và các thiết bị ngoại vi thông dụng của máy tính.
Từ khóa: máy tính, phần cứng, màn hình, thân máy, bàn phím, chuột, màn hình cảm ứng
Loại kiến thức: CONCEPT
Môn học: TIN_HOC
Lớp: G3
Tuần: W2"
CIO_NSAS_DTCN_PB	Phân biệt đối tượng tự nhiên và sản phẩm công nghệ	Phân biệt được sự khác nhau giữa các đối tượng trong tự nhiên và các sản phẩm do con người tạo ra.	đối tượng tự nhiên, sản phẩm công nghệ, phân biệt	PROCEDURAL	S	TNXH	G3	W2	"Mã LO: CIO_NSAS_DTCN_PB
Tên: Phân biệt đối tượng tự nhiên và sản phẩm công nghệ
Mô tả: Phân biệt được sự khác nhau giữa các đối tượng trong tự nhiên và các sản phẩm do con người tạo ra.
Từ khóa: đối tượng tự nhiên, sản phẩm công nghệ, phân biệt
Loại kiến thức: PROCEDURAL
Môn học: TNXH
Lớp: G3
Tuần: W2"
SIO_IT_LQVT_PHCCB_02	Nhận biết màn hình cảm ứng	Nhận biết được màn hình cảm ứng.	màn hình cảm ứng, thiết bị di động, máy tính bảng, nhận biết	FACTUAL	T	TIN_HOC	G3	W2	"Mã LO: SIO_IT_LQVT_PHCCB_02
Tên: Nhận biết màn hình cảm ứng
Mô tả: Nhận biết được màn hình cảm ứng.
Từ khóa: màn hình cảm ứng, thiết bị di động, máy tính bảng, nhận biết
Loại kiến thức: FACTUAL
Môn học: TIN_HOC
Lớp: G3
Tuần: W2"
SIO_NSAS_DTCN_PB_01	Phân biệt được đối tượng tự nhiên và sản phẩm công nghệ	Phân biệt được đối tượng tự nhiên và sản phẩm công nghệ.	đối tượng tự nhiên, sản phẩm công nghệ, nhân tạo, phân biệt	PROCEDURAL	S	TNXH	G3	W2	"Mã LO: SIO_NSAS_DTCN_PB_01
Tên: Phân biệt được đối tượng tự nhiên và sản phẩm công nghệ
Mô tả: Phân biệt được đối tượng tự nhiên và sản phẩm công nghệ.
Từ khóa: đối tượng tự nhiên, sản phẩm công nghệ, nhân tạo, phân biệt
Loại kiến thức: PROCEDURAL
Môn học: TNXH
Lớp: G3
Tuần: W2"
ULO_NSAS_DTCN	Hiểu về đối tượng tự nhiên và sản phẩm công nghệ	Hiểu và phân biệt được sự khác nhau giữa đối tượng tự nhiên và sản phẩm công nghệ.	tự nhiên, công nghệ, sản phẩm, phân biệt	CONCEPT	S	TNXH	G3	W2	"Mã LO: ULO_NSAS_DTCN
Tên: Hiểu về đối tượng tự nhiên và sản phẩm công nghệ
Mô tả: Hiểu và phân biệt được sự khác nhau giữa đối tượng tự nhiên và sản phẩm công nghệ.
Từ khóa: tự nhiên, công nghệ, sản phẩm, phân biệt
Loại kiến thức: CONCEPT
Môn học: TNXH
Lớp: G3
Tuần: W2"
CIO_NSAS_MTAT_NCTH	Hiểu nguyên nhân và tác hại của cháy nổ	Nêu được một số nguyên nhân và thiệt hại do cháy gây ra.	cháy, hỏa hoạn, nguyên nhân, thiệt hại	CONCEPT	S	TNXH	G3	W3	"Mã LO: CIO_NSAS_MTAT_NCTH
Tên: Hiểu nguyên nhân và tác hại của cháy nổ
Mô tả: Nêu được một số nguyên nhân và thiệt hại do cháy gây ra.
Từ khóa: cháy, hỏa hoạn, nguyên nhân, thiệt hại
Loại kiến thức: CONCEPT
Môn học: TNXH
Lớp: G3
Tuần: W3"
CIO_NSAS_MTAT_PCCN	Thực hành phòng chống cháy nổ	Điều tra và phát hiện được các vật dễ gây cháy.	phòng cháy, vật dễ cháy, điều tra, phát hiện	PROCEDURAL	S	TNXH	G3	W3	"Mã LO: CIO_NSAS_MTAT_PCCN
Tên: Thực hành phòng chống cháy nổ
Mô tả: Điều tra và phát hiện được các vật dễ gây cháy.
Từ khóa: phòng cháy, vật dễ cháy, điều tra, phát hiện
Loại kiến thức: PROCEDURAL
Môn học: TNXH
Lớp: G3
Tuần: W3"
CIO_TECH_ATGT_USCC	Biết cách ứng phó khi có sự cố cháy	Biết cách ứng xử cơ bản khi có cháy xảy ra để đảm bảo an toàn.	cháy, ứng phó, thoát nạn, báo cháy, an toàn	PROCEDURAL	E	CONG_NGHE	G3	W3	"Mã LO: CIO_TECH_ATGT_USCC
Tên: Biết cách ứng phó khi có sự cố cháy
Mô tả: Biết cách ứng xử cơ bản khi có cháy xảy ra để đảm bảo an toàn.
Từ khóa: cháy, ứng phó, thoát nạn, báo cháy, an toàn
Loại kiến thức: PROCEDURAL
Môn học: CONG_NGHE
Lớp: G3
Tuần: W3"
SIO_IT_LQVT_TTSD_01	Thực hiện các thao tác cơ bản với chuột	Thực hiện được các thao tác cơ bản với chuột (di chuyển, nháy, nháy đúp, kéo thả).	chuột máy tính, thao tác chuột, di chuyển, nháy chuột, nháy đúp, kéo thả	PROCEDURAL	T	TIN_HOC	G3	W3	"Mã LO: SIO_IT_LQVT_TTSD_01
Tên: Thực hiện các thao tác cơ bản với chuột
Mô tả: Thực hiện được các thao tác cơ bản với chuột (di chuyển, nháy, nháy đúp, kéo thả).
Từ khóa: chuột máy tính, thao tác chuột, di chuyển, nháy chuột, nháy đúp, kéo thả
Loại kiến thức: PROCEDURAL
Môn học: TIN_HOC
Lớp: G3
Tuần: W3"
SIO_NSAS_MTAT_NCTH_01	Nêu được một số nguyên nhân và thiệt hại do cháy	Nêu được một số nguyên nhân gây cháy nhà và thiệt hại do cháy gây ra.	cháy nhà, nguyên nhân cháy, thiệt hại, hỏa hoạn, an toàn phòng cháy	FACTUAL	S	TNXH	G3	W3	"Mã LO: SIO_NSAS_MTAT_NCTH_01
Tên: Nêu được một số nguyên nhân và thiệt hại do cháy
Mô tả: Nêu được một số nguyên nhân gây cháy nhà và thiệt hại do cháy gây ra.
Từ khóa: cháy nhà, nguyên nhân cháy, thiệt hại, hỏa hoạn, an toàn phòng cháy
Loại kiến thức: FACTUAL
Môn học: TNXH
Lớp: G3
Tuần: W3"
SIO_NSAS_MTAT_PCCN_01	Điều tra, phát hiện vật dễ gây cháy	Điều tra, phát hiện được các vật dễ gây cháy trong nhà/trường học.	điều tra, phát hiện, vật dễ cháy, nguy cơ cháy, an toàn nhà ở, an toàn trường học	PROCEDURAL	S	TNXH	G3	W3	"Mã LO: SIO_NSAS_MTAT_PCCN_01
Tên: Điều tra, phát hiện vật dễ gây cháy
Mô tả: Điều tra, phát hiện được các vật dễ gây cháy trong nhà/trường học.
Từ khóa: điều tra, phát hiện, vật dễ cháy, nguy cơ cháy, an toàn nhà ở, an toàn trường học
Loại kiến thức: PROCEDURAL
Môn học: TNXH
Lớp: G3
Tuần: W3"
SIO_TECH_ATGT_USCC_01	Biết cách ứng xử cơ bản khi có cháy	Biết cách ứng xử cơ bản khi có cháy xảy ra (báo động, tìm lối thoát nạn an toàn).	ứng phó khi có cháy, thoát nạn, báo cháy, kỹ năng sinh tồn, an toàn cháy nổ	PROCEDURAL	E	CONG_NGHE	G3	W3	"Mã LO: SIO_TECH_ATGT_USCC_01
Tên: Biết cách ứng xử cơ bản khi có cháy
Mô tả: Biết cách ứng xử cơ bản khi có cháy xảy ra (báo động, tìm lối thoát nạn an toàn).
Từ khóa: ứng phó khi có cháy, thoát nạn, báo cháy, kỹ năng sinh tồn, an toàn cháy nổ
Loại kiến thức: PROCEDURAL
Môn học: CONG_NGHE
Lớp: G3
Tuần: W3"
ULO_NSAS_MTAT	Hiểu về an toàn trong môi trường sống	Nhận biết và phòng tránh các nguy cơ gây mất an toàn trong môi trường sống, đặc biệt là hỏa hoạn.	môi trường, an toàn, hỏa hoạn, phòng cháy	CONCEPT	S	TNXH	G3	W3	"Mã LO: ULO_NSAS_MTAT
Tên: Hiểu về an toàn trong môi trường sống
Mô tả: Nhận biết và phòng tránh các nguy cơ gây mất an toàn trong môi trường sống, đặc biệt là hỏa hoạn.
Từ khóa: môi trường, an toàn, hỏa hoạn, phòng cháy
Loại kiến thức: CONCEPT
Môn học: TNXH
Lớp: G3
Tuần: W3"
